call_id,n_segments,total_chars
AAPL_2023Q1,54,44833
AAPL_2023Q2,62,45649
AAPL_2023Q3,63,45976
AAPL_2023Q4,84,48098
AAPL_2024Q1,63,43973
AAPL_2024Q2,84,45742
AAPL_2024Q3,75,45123
AAPL_2024Q4,83,44923
ABBV_2023Q1,60,20215
ABBV_2023Q2,68,69162
ABBV_2023Q3,64,66775
ABBV_2023Q4,83,74064
ABBV_2024Q1,76,68387
ABBV_2024Q2,75,62701
ABBV_2024Q3,59,58113
ABBV_2024Q4,78,70471
ABNB_2023Q1,67,59755
ABNB_2023Q2,63,49862
ABNB_2023Q3,62,55678
ABNB_2023Q4,67,55119
ABNB_2024Q1,77,56291
ABNB_2024Q2,57,56523
ABNB_2024Q3,50,52914
ABNB_2024Q4,62,60453
ABT_2023Q1,49,19566
ABT_2023Q2,37,10649
ABT_2023Q3,41,13476
ABT_2023Q4,31,11552
ABT_2024Q1,37,47433
ABT_2024Q2,50,50379
ABT_2024Q3,35,48694
ABT_2024Q4,47,48526
ACGL_2023Q1,64,50235
ACGL_2023Q2,76,50002
ACGL_2023Q3,68,48610
ACGL_2023Q4,113,53165
ACGL_2024Q1,67,44099
ACGL_2024Q2,84,46460
ACGL_2024Q3,87,51005
ACGL_2024Q4,109,56620
ACN_2023Q3,63,54813
ACN_2023Q4,56,55763
A_2023Q1,111,55113
A_2023Q2,124,57354
A_2023Q3,140,60522
A_2023Q4,85,55860
A_2024Q1,123,56174
A_2024Q2,98,55456
A_2024Q3,97,54699
A_2024Q4,99,62045
